ISO3,Country_Raw,Year,New_Infections,Predicted_Infections,EDI_Raw,ART_Coverage
DOM,DOM,2014.0,4000.0,3768.408283797696,0.27927659779266834,31.0
DOM,DOM,2015.0,3900.0,3655.4008861944894,0.30405528414893457,34.0
DZA,DZA,2010.0,1300.0,1335.9627805902564,-0.12172295564297504,21.0
DZA,DZA,2011.0,1200.0,1339.1505678666379,-0.469869299129125,23.0
DZA,DZA,2012.0,1200.0,1258.4506569171635,-0.20992404430845887,28.0
DZA,DZA,2013.0,1200.0,1258.0687940652356,-0.20861538185689701,35.0
DZA,DZA,2014.0,1300.0,1258.7013510423014,0.14829374333921516,43.0
DZA,DZA,2015.0,1300.0,1335.4144993456453,-0.11991602931914372,51.0
ECU,ECU,2010.0,2700.0,2522.196000728381,0.3199226583968456,20.0
ECU,ECU,2011.0,2700.0,2515.955734957503,0.33196874968878975,24.0
ECU,ECU,2012.0,2600.0,2508.1953661790444,0.1661023021363223,25.0
ECU,ECU,2013.0,2500.0,2400.0877749179836,0.18887897692993247,28.0
ECU,ECU,2014.0,2500.0,2299.7007900562066,0.3951106423215226,31.0
ECU,ECU,2015.0,2300.0,2302.2640531175944,-0.004461125780976439,38.0
EGY,EGY,2010.0,2400.0,2510.944423582418,-0.20051309476084553,3.0
EGY,EGY,2011.0,2600.0,2609.325749666628,-0.016221722829984953,3.0
EGY,EGY,2012.0,2800.0,2791.886160634083,0.013194178492314801,4.0
EGY,EGY,2013.0,3000.0,2972.378100144705,0.04219884036974955,5.0
EGY,EGY,2014.0,3200.0,3147.1586220499453,0.07625884136498397,7.0
EGY,EGY,2015.0,3400.0,3321.709661265147,0.10706709273436431,8.0
ERI,ERI,2010.0,500.0,448.087354379264,0.5161032886710953,26.0
ERI,ERI,2011.0,500.0,447.0761590794288,0.5273200021524778,32.0
ERI,ERI,2012.0,500.0,437.0899052541276,0.6408167829354369,38.0
ERI,ERI,2013.0,500.0,437.50125777673924,0.6360416354703835,45.0
